Inserção crescente
0.00	3.73	2000
0.00	3.77	4000
0.00	3.80	8000
0.00	3.83	16000
0.00	3.89	32000
0.00	4.02	64000
0.00	4.27	128000
0.00	4.75	256000
0.00	5.73	512000
0.00	7.68	1024000

Inserção decrescente
0.00	3.73	2000
0.01	3.77	4000
0.04	3.80	8000
0.16	3.83	16000
0.65	3.89	32000
2.71	4.02	64000
10.63	4.27	128000
41.98	4.75	256000
167.44	5.74	512000
669.78	7.66	1024000

Inserção aleatório
0.00	3.73	2000
0.00	3.77	4000
0.02	3.80	8000
0.07	3.83	16000
0.32	3.89	32000
1.48	4.02	64000
5.03	4.27	128000
13.06	4.76	256000
29.09	5.71	512000
61.57	7.66	1024000
