Seleção crescente
0.00	3.73	2000
0.01	3.77	4000
0.03	3.80	8000
0.12	3.83	16000
0.49	3.89	32000
1.96	4.02	64000
7.79	4.27	128000
31.08	4.76	256000
125.21	5.71	512000
497.86	7.66	1024000

Seleção decrescente
0.00	3.73	2000
0.00	3.77	4000
0.03	3.80	8000
0.13	3.83	16000
0.52	3.89	32000
2.06	4.02	64000
8.18	4.27	128000
32.69	4.76	256000
130.85	5.71	512000
525.48	7.66	1024000

Seleção aleatório
0.00	3.73	2000
0.01	3.77	4000
0.03	3.80	8000
0.12	3.83	16000
0.49	3.89	32000
2.01	4.02	64000
8.15	4.27	128000
31.99	4.76	256000
128.54	5.71	512000
510.61	7.66	1024000
